#Source                    |Destination                |Total Strands|Capacity|Bid  |Client
#=============================================================================================
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      57;  871;     0
Kansas City, Missouri      ; Denver, Colorado          ;            3;       9;  930;    31
San Francisco, California  ; Denver, Colorado          ;            9;      73;  683;    32
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      18;  976;    33
Denver, Colorado           ; Madison, Wisconsin        ;            8;       7;  626;    34
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      93;  963;    35
San Francisco, California  ; Madison, Wisconsin        ;            4;      85;  914;    36
San Francisco, California  ; Denver, Colorado          ;           10;      82;  810;    37
San Francisco, California  ; Denver, Colorado          ;            1;      96;  636;    38
Kansas City, Missouri      ; Denver, Colorado          ;           10;       3;  693;    39
Kansas City, Missouri      ; Denver, Colorado          ;           10;      86;  690;    40
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      65;  842;    41
San Francisco, California  ; Salt Lake City, Utah      ;            4;      97;  918;    42
Denver, Colorado           ; Madison, Wisconsin        ;            2;      18;  702;    43
San Francisco, California  ; Madison, Wisconsin        ;            7;      27;  603;    44
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      43;  899;    45
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      96;  841;    46
Denver, Colorado           ; Madison, Wisconsin        ;            9;      16;  747;    47
San Francisco, California  ; Madison, Wisconsin        ;            5;       1;  942;    48
San Francisco, California  ; Denver, Colorado          ;           10;      30;  839;    49
Kansas City, Missouri      ; Denver, Colorado          ;            5;      43;  700;    50
Kansas City, Missouri      ; Denver, Colorado          ;            6;      11;  770;    51
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      41;  981;    52
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      63;  920;    53
Denver, Colorado           ; Madison, Wisconsin        ;            1;      58;  719;    54
Denver, Colorado           ; Madison, Wisconsin        ;            2;      45;  718;    55
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      23;  610;    56
San Francisco, California  ; Salt Lake City, Utah      ;           10;      53;  849;    57
Denver, Colorado           ; Madison, Wisconsin        ;            9;      76;  814;    58
San Francisco, California  ; Denver, Colorado          ;            7;      45;  948;    59
Denver, Colorado           ; Madison, Wisconsin        ;            8;      57;  980;    60
Denver, Colorado           ; Madison, Wisconsin        ;            6;      34;  822;    61
San Francisco, California  ; Salt Lake City, Utah      ;           10;      58;  917;    62
Kansas City, Missouri      ; Denver, Colorado          ;            6;      45;  886;    63
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      29;  844;    64
San Francisco, California  ; Denver, Colorado          ;            6;      71;  902;    65
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      34;  739;    66
Denver, Colorado           ; Madison, Wisconsin        ;            9;      14;  849;    67
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      77;  854;    68
Denver, Colorado           ; Madison, Wisconsin        ;            4;      43;  641;    69
San Francisco, California  ; Madison, Wisconsin        ;            2;      59;  986;    70
San Francisco, California  ; Salt Lake City, Utah      ;            8;      30;  730;    71
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      48;  612;    72
Kansas City, Missouri      ; Denver, Colorado          ;            1;      80;  780;    73
Kansas City, Missouri      ; Denver, Colorado          ;            6;      74;  877;    74
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      16;  624;    75
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      11;  970;    76
Denver, Colorado           ; Madison, Wisconsin        ;            5;      12;  966;    77
Denver, Colorado           ; Madison, Wisconsin        ;            5;      65;  908;    78
Denver, Colorado           ; Madison, Wisconsin        ;            6;      66;  675;    79
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      48;  986;    80
Kansas City, Missouri      ; Salt Lake City, Utah      ;            3;      88;  814;    81
Denver, Colorado           ; Madison, Wisconsin        ;            8;      31;  632;    82
San Francisco, California  ; Salt Lake City, Utah      ;            3;      32;  603;    83
San Francisco, California  ; Denver, Colorado          ;           10;      44;  707;    84
Kansas City, Missouri      ; Denver, Colorado          ;            1;       3;  844;    85
San Francisco, California  ; Madison, Wisconsin        ;            8;      45;  905;    86
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      50;  652;    87
Denver, Colorado           ; Madison, Wisconsin        ;            4;      67;  684;    88
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      47;  702;    89
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      49;  917;    90
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      41;  919;    91
San Francisco, California  ; Madison, Wisconsin        ;            7;      73;  789;    92
Kansas City, Missouri      ; Madison, Wisconsin        ;            8;      76;  918;    93
San Francisco, California  ; Denver, Colorado          ;           10;      96;  964;    94
San Francisco, California  ; Madison, Wisconsin        ;            7;      26;  870;    95
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      94;  646;    96
Kansas City, Missouri      ; Denver, Colorado          ;            1;      14;  941;    97
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      41;  810;    98
Denver, Colorado           ; Salt Lake City, Utah      ;            7;       7;  853;    99
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      73;  881;   100
San Francisco, California  ; Denver, Colorado          ;            8;      12;  904;   101
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      81;  911;   102
Denver, Colorado           ; Madison, Wisconsin        ;           10;      15;  696;   103
Kansas City, Missouri      ; Madison, Wisconsin        ;            9;      39;  892;   104
San Francisco, California  ; Denver, Colorado          ;            8;      70;  681;   105
San Francisco, California  ; Salt Lake City, Utah      ;           10;      24;  739;   106
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      50;  738;   107
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;      24;  895;   108
Kansas City, Missouri      ; Denver, Colorado          ;            4;      51;  879;   109
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      18;  757;   110
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      46;  921;   111
San Francisco, California  ; Madison, Wisconsin        ;            8;      24;  770;   112
San Francisco, California  ; Denver, Colorado          ;            3;      21;  747;   113
San Francisco, California  ; Salt Lake City, Utah      ;            3;      40;  734;   114
Denver, Colorado           ; Madison, Wisconsin        ;           10;      35;  647;   115
Denver, Colorado           ; Madison, Wisconsin        ;            8;      57;  976;   116
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      16;  790;   117
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      58;  796;   118
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      74;  855;   119
San Francisco, California  ; Madison, Wisconsin        ;            2;       4;  979;   120
Kansas City, Missouri      ; Denver, Colorado          ;            2;       1;  880;   121
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      85;  648;   122
San Francisco, California  ; Salt Lake City, Utah      ;           10;      48;  878;   123
Kansas City, Missouri      ; Madison, Wisconsin        ;            8;      98;  921;   124
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;       6;  840;   125
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      95;  886;   126
San Francisco, California  ; Salt Lake City, Utah      ;            6;      38;  992;   127
Kansas City, Missouri      ; Madison, Wisconsin        ;            9;       2;  962;   128
Denver, Colorado           ; Madison, Wisconsin        ;            9;      12;  614;   129
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      20;  817;   130
Denver, Colorado           ; Madison, Wisconsin        ;            5;      89;  695;   131
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      99;  765;   132
San Francisco, California  ; Denver, Colorado          ;            6;      16;  715;   133
San Francisco, California  ; Salt Lake City, Utah      ;            8;      14;  910;   134
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      30;  806;   135
San Francisco, California  ; Madison, Wisconsin        ;            8;      96;  665;   136
Kansas City, Missouri      ; Denver, Colorado          ;            5;      70;  939;   137
Kansas City, Missouri      ; Denver, Colorado          ;            8;      84;  958;   138
San Francisco, California  ; Denver, Colorado          ;            3;      79;  916;   139
San Francisco, California  ; Salt Lake City, Utah      ;           10;      62;  793;   140
San Francisco, California  ; Madison, Wisconsin        ;            4;      11;  600;   141
San Francisco, California  ; Madison, Wisconsin        ;            1;      95;  619;   142
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      87;  803;   143
San Francisco, California  ; Salt Lake City, Utah      ;            5;      77;  795;   144
Denver, Colorado           ; Madison, Wisconsin        ;            3;      43;  916;   145
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;      64;  975;   146
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      95;  961;   147
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      95;  921;   148
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;      38;  660;   149
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      55;  922;   150
San Francisco, California  ; Madison, Wisconsin        ;            3;      10;  620;   151
San Francisco, California  ; Salt Lake City, Utah      ;            3;       8;  704;   152
Denver, Colorado           ; Madison, Wisconsin        ;           10;       4;  982;   153
San Francisco, California  ; Salt Lake City, Utah      ;            1;      49;  731;   154
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      26;  799;   155
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      79;  800;   156
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      78;  652;   157
San Francisco, California  ; Denver, Colorado          ;            8;      32;  608;   158
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;       1;  601;   159
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      79;  842;   160
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      16;  618;   161
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;       5;  977;   162
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      28;  606;   163
San Francisco, California  ; Denver, Colorado          ;            4;      83;  975;   164
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      50;  826;   165
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      16;  703;   166
Kansas City, Missouri      ; Denver, Colorado          ;            5;      99;  706;   167
San Francisco, California  ; Madison, Wisconsin        ;            5;       1;  687;   168
San Francisco, California  ; Denver, Colorado          ;            7;      33;  895;   169
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      35;  668;   170
Kansas City, Missouri      ; Denver, Colorado          ;           10;      13;  885;   171
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;      54;  929;   172
Denver, Colorado           ; Madison, Wisconsin        ;            9;      80;  755;   173
San Francisco, California  ; Salt Lake City, Utah      ;            4;       3;  763;   174
Denver, Colorado           ; Madison, Wisconsin        ;            3;      33;  941;   175
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;      68;  966;   176
San Francisco, California  ; Madison, Wisconsin        ;            2;      61;  800;   177
Kansas City, Missouri      ; Denver, Colorado          ;            4;      66;  642;   178
San Francisco, California  ; Salt Lake City, Utah      ;            1;      79;  920;   179
San Francisco, California  ; Salt Lake City, Utah      ;            3;      77;  603;   180
San Francisco, California  ; Denver, Colorado          ;            5;      83;  723;   181
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      83;  756;   182
Denver, Colorado           ; Madison, Wisconsin        ;            2;       4;  772;   183
San Francisco, California  ; Denver, Colorado          ;            5;      15;  843;   184
San Francisco, California  ; Salt Lake City, Utah      ;            1;      49;  811;   185
Kansas City, Missouri      ; Madison, Wisconsin        ;            1;      73;  750;   186
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;      26;  819;   187
San Francisco, California  ; Madison, Wisconsin        ;           10;      19;  908;   188
Kansas City, Missouri      ; Denver, Colorado          ;            2;      95;  724;   189
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      80;  671;   190
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      82;  696;   191
San Francisco, California  ; Madison, Wisconsin        ;            2;      79;  746;   192
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;      48;  956;   193
Kansas City, Missouri      ; Denver, Colorado          ;            9;       7;  982;   194
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      99;  710;   195
San Francisco, California  ; Madison, Wisconsin        ;           10;       5;  978;   196
Kansas City, Missouri      ; Denver, Colorado          ;            6;      49;  693;   197
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      22;  723;   198
Denver, Colorado           ; Madison, Wisconsin        ;            7;      64;  745;   199
San Francisco, California  ; Salt Lake City, Utah      ;            7;      10;  941;   200
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      34;  790;   201
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      88;  694;   202
Kansas City, Missouri      ; Denver, Colorado          ;            3;      57;  761;   203
San Francisco, California  ; Salt Lake City, Utah      ;            5;      18;  602;   204
Denver, Colorado           ; Madison, Wisconsin        ;           10;      24;  680;   205
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;       5;  764;   206
San Francisco, California  ; Salt Lake City, Utah      ;            5;      53;  638;   207
Denver, Colorado           ; Madison, Wisconsin        ;            8;      47;  881;   208
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;       8;  609;   209
Denver, Colorado           ; Madison, Wisconsin        ;            8;      41;  932;   210
Denver, Colorado           ; Madison, Wisconsin        ;            4;      18;  928;   211
Denver, Colorado           ; Madison, Wisconsin        ;            9;      90;  613;   212
San Francisco, California  ; Denver, Colorado          ;            1;      83;  742;   213
San Francisco, California  ; Salt Lake City, Utah      ;            9;      74;  823;   214
San Francisco, California  ; Denver, Colorado          ;            5;      37;  760;   215
Denver, Colorado           ; Madison, Wisconsin        ;            1;      33;  937;   216
Kansas City, Missouri      ; Denver, Colorado          ;            9;      48;  609;   217
Denver, Colorado           ; Madison, Wisconsin        ;            1;      22;  895;   218
San Francisco, California  ; Salt Lake City, Utah      ;            2;      35;  739;   219
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      80;  900;   220
Kansas City, Missouri      ; Salt Lake City, Utah      ;            3;      59;  607;   221
San Francisco, California  ; Denver, Colorado          ;           10;      27;  801;   222
Denver, Colorado           ; Madison, Wisconsin        ;            7;      90;  622;   223
Kansas City, Missouri      ; Denver, Colorado          ;            2;      44;  967;   224
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      52;  636;   225
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;      20;  794;   226
San Francisco, California  ; Madison, Wisconsin        ;            4;      10;  670;   227
San Francisco, California  ; Madison, Wisconsin        ;            2;       1;  997;   228
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      62;  984;   229
Denver, Colorado           ; Madison, Wisconsin        ;            8;      22;  894;   230
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      52;  951;   231
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      75;  932;   232
San Francisco, California  ; Madison, Wisconsin        ;            7;      82;  723;   233
Kansas City, Missouri      ; Denver, Colorado          ;           10;      25;  869;   234
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      26;  863;   235
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      67;  616;   236
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      61;  714;   237
Denver, Colorado           ; Madison, Wisconsin        ;            2;      22;  611;   238
San Francisco, California  ; Madison, Wisconsin        ;            4;      64;  820;   239
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      12;  838;   240
Denver, Colorado           ; Madison, Wisconsin        ;           10;      75;  932;   241
San Francisco, California  ; Denver, Colorado          ;            2;      20;  760;   242
Denver, Colorado           ; Madison, Wisconsin        ;            8;      26;  743;   243
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      62;  609;   244
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      60;  821;   245
San Francisco, California  ; Madison, Wisconsin        ;            2;      90;  869;   246
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      82;  829;   247
San Francisco, California  ; Salt Lake City, Utah      ;            4;      81;  866;   248
Denver, Colorado           ; Madison, Wisconsin        ;            6;      77;  873;   249
Kansas City, Missouri      ; Denver, Colorado          ;            5;      70;  697;   250
Denver, Colorado           ; Madison, Wisconsin        ;            8;      20;  850;   251
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      97;  972;   252
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      37;  846;   253
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      91;  837;   254
Denver, Colorado           ; Madison, Wisconsin        ;            4;      14;  940;   255
San Francisco, California  ; Salt Lake City, Utah      ;            7;      97;  734;   256
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      73;  983;   257
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      77;  914;   258
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      97;  862;   259
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      44;  902;   260
San Francisco, California  ; Madison, Wisconsin        ;            9;       4;  718;   261
Denver, Colorado           ; Madison, Wisconsin        ;            9;     100;  752;   262
Kansas City, Missouri      ; Denver, Colorado          ;            2;      57;  989;   263
Kansas City, Missouri      ; Denver, Colorado          ;            6;      87;  965;   264
San Francisco, California  ; Denver, Colorado          ;            6;      76;  994;   265
Denver, Colorado           ; Madison, Wisconsin        ;            1;     100;  921;   266
Denver, Colorado           ; Madison, Wisconsin        ;            1;      91;  794;   267
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      43;  876;   268
San Francisco, California  ; Salt Lake City, Utah      ;            1;      57;  651;   269
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      21;  804;   270
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      81;  600;   271
Denver, Colorado           ; Madison, Wisconsin        ;            5;      34;  868;   272
San Francisco, California  ; Salt Lake City, Utah      ;            8;      49;  693;   273
Kansas City, Missouri      ; Denver, Colorado          ;            2;       1;  764;   274
Denver, Colorado           ; Madison, Wisconsin        ;           10;      50;  632;   275
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;       2;  672;   276
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      15;  910;   277
San Francisco, California  ; Denver, Colorado          ;            4;      33;  646;   278
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      30;  740;   279
San Francisco, California  ; Madison, Wisconsin        ;            3;      75;  723;   280
San Francisco, California  ; Madison, Wisconsin        ;           10;      24;  803;   281
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      62;  995;   282
San Francisco, California  ; Denver, Colorado          ;            8;      52;  810;   283
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      83;  659;   284
San Francisco, California  ; Madison, Wisconsin        ;            3;       7;  939;   285
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      11;  982;   286
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      20;  873;   287
San Francisco, California  ; Madison, Wisconsin        ;            9;      96;  974;   288
San Francisco, California  ; Salt Lake City, Utah      ;            9;      31;  917;   289
San Francisco, California  ; Madison, Wisconsin        ;            6;      96;  608;   290
San Francisco, California  ; Denver, Colorado          ;            6;      98;  650;   291
San Francisco, California  ; Madison, Wisconsin        ;            5;      26;  871;   292
San Francisco, California  ; Madison, Wisconsin        ;            2;      64;  939;   293
Denver, Colorado           ; Madison, Wisconsin        ;           10;      13;  798;   294
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      64;  858;   295
Kansas City, Missouri      ; Denver, Colorado          ;            5;      80;  602;   296
San Francisco, California  ; Salt Lake City, Utah      ;            4;      19;  723;   297
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      26;  996;   298
San Francisco, California  ; Salt Lake City, Utah      ;           10;      36;  935;   299
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      10;  910;   300
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      90;  772;   301
Denver, Colorado           ; Madison, Wisconsin        ;            6;      79;  866;   302
Denver, Colorado           ; Madison, Wisconsin        ;            3;      82;  734;   303
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      55;  713;   304
Kansas City, Missouri      ; Denver, Colorado          ;            2;      38;  820;   305
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      44;  687;   306
San Francisco, California  ; Salt Lake City, Utah      ;            1;      89;  714;   307
Denver, Colorado           ; Madison, Wisconsin        ;            7;       7;  662;   308
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      40;  673;   309
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      26;  609;   310
Kansas City, Missouri      ; Denver, Colorado          ;            9;      58;  761;   311
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      62;  844;   312
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      27;  974;   313
San Francisco, California  ; Madison, Wisconsin        ;            5;      47;  956;   314
San Francisco, California  ; Madison, Wisconsin        ;           10;      78;  956;   315
Denver, Colorado           ; Madison, Wisconsin        ;            6;      98;  691;   316
Kansas City, Missouri      ; Denver, Colorado          ;            2;      90;  840;   317
Denver, Colorado           ; Madison, Wisconsin        ;            2;       3;  972;   318
Kansas City, Missouri      ; Denver, Colorado          ;            4;      55;  731;   319
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      89;  786;   320
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;      52;  702;   321
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      24;  800;   322
San Francisco, California  ; Salt Lake City, Utah      ;            4;      49;  754;   323
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;      67;  973;   324
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      78;  818;   325
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      81;  966;   326
San Francisco, California  ; Denver, Colorado          ;            9;      84;  756;   327
Kansas City, Missouri      ; Madison, Wisconsin        ;            1;      12;  674;   328
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;       6;  724;   329
San Francisco, California  ; Madison, Wisconsin        ;            6;      23;  819;   330
Denver, Colorado           ; Madison, Wisconsin        ;            1;      14;  762;   331
Denver, Colorado           ; Madison, Wisconsin        ;            2;      39;  973;   332
Kansas City, Missouri      ; Denver, Colorado          ;            4;      26;  852;   333
San Francisco, California  ; Salt Lake City, Utah      ;            2;      92;  604;   334
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      33;  655;   335
San Francisco, California  ; Denver, Colorado          ;            5;      60;  919;   336
Denver, Colorado           ; Madison, Wisconsin        ;            7;      86;  966;   337
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      75;  934;   338
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;      63;  748;   339
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      27;  623;   340
San Francisco, California  ; Madison, Wisconsin        ;            5;      60;  827;   341
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      99;  711;   342
Denver, Colorado           ; Madison, Wisconsin        ;            7;      27;  727;   343
Denver, Colorado           ; Salt Lake City, Utah      ;            6;       9;  829;   344
Denver, Colorado           ; Madison, Wisconsin        ;            1;      40;  705;   345
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;      92;  851;   346
Denver, Colorado           ; Salt Lake City, Utah      ;            5;       8;  636;   347
Denver, Colorado           ; Madison, Wisconsin        ;           10;      35;  848;   348
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      92;  923;   349
San Francisco, California  ; Madison, Wisconsin        ;            9;      53;  919;   350
San Francisco, California  ; Denver, Colorado          ;            5;      56;  698;   351
San Francisco, California  ; Denver, Colorado          ;            1;      41;  807;   352
Kansas City, Missouri      ; Denver, Colorado          ;            5;      99;  753;   353
San Francisco, California  ; Madison, Wisconsin        ;            9;      97;  938;   354
Denver, Colorado           ; Madison, Wisconsin        ;           10;      75;  703;   355
Kansas City, Missouri      ; Salt Lake City, Utah      ;            3;      14;  950;   356
Kansas City, Missouri      ; Denver, Colorado          ;            2;      85;  820;   357
San Francisco, California  ; Denver, Colorado          ;            3;       4;  956;   358
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      69;  762;   359
Kansas City, Missouri      ; Denver, Colorado          ;            7;      56;  818;   360
San Francisco, California  ; Salt Lake City, Utah      ;            3;      98;  607;   361
San Francisco, California  ; Madison, Wisconsin        ;            9;       9;  928;   362
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      31;  682;   363
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      90;  690;   364
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      47;  878;   365
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      94;  711;   366
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;      98;  921;   367
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      47;  701;   368
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;      40;  712;   369
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      18;  997;   370
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      29;  664;   371
San Francisco, California  ; Madison, Wisconsin        ;            7;      20;  895;   372
Denver, Colorado           ; Madison, Wisconsin        ;            7;      80;  792;   373
San Francisco, California  ; Denver, Colorado          ;            1;      54;  778;   374
Kansas City, Missouri      ; Denver, Colorado          ;            5;      65;  968;   375
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      39;  830;   376
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      95;  713;   377
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      99;  937;   378
Kansas City, Missouri      ; Salt Lake City, Utah      ;            3;      43;  829;   379
San Francisco, California  ; Madison, Wisconsin        ;            1;       7;  839;   380
