#Source                    |Destination                |Total Strands|Capacity|Bid  |Client
#=============================================================================================
San Francisco, California  ; Salt Lake City, Utah      ;            9;      24;  604;     0
Denver, Colorado           ; Madison, Wisconsin        ;            9;      68;  923;    84
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      12;  600;    85
Denver, Colorado           ; Madison, Wisconsin        ;            1;      90;  794;    86
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      77;  907;    87
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      71;  750;    88
San Francisco, California  ; Madison, Wisconsin        ;            4;      28;  909;    89
Denver, Colorado           ; Madison, Wisconsin        ;            9;       2;  772;    90
San Francisco, California  ; Denver, Colorado          ;            4;      20;  636;    91
San Francisco, California  ; Madison, Wisconsin        ;            3;      54;  761;    92
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      28;  799;    93
San Francisco, California  ; Madison, Wisconsin        ;            3;      88;  728;    94
Denver, Colorado           ; Madison, Wisconsin        ;           10;      12;  602;    95
Kansas City, Missouri      ; Denver, Colorado          ;            4;      82;  978;    96
San Francisco, California  ; Madison, Wisconsin        ;            1;      32;  888;    97
San Francisco, California  ; Denver, Colorado          ;            8;      81;  721;    98
Kansas City, Missouri      ; Denver, Colorado          ;            8;      33;  793;    99
