#Source                    |Destination                |Total Strands|Capacity|Bid  |Client
#=============================================================================================
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      78;  918;     0
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      60;  828;    93
San Francisco, California  ; Salt Lake City, Utah      ;            1;      13;  637;    94
San Francisco, California  ; Salt Lake City, Utah      ;            3;      66;  652;    95
Denver, Colorado           ; Madison, Wisconsin        ;            2;      84;  856;    96
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      59;  942;    97
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      52;  608;    98
San Francisco, California  ; Denver, Colorado          ;            7;      10;  746;    99
San Francisco, California  ; Salt Lake City, Utah      ;            3;      93;  821;   100
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      14;  730;   101
San Francisco, California  ; Denver, Colorado          ;            4;      43;  608;   102
Kansas City, Missouri      ; Salt Lake City, Utah      ;            3;      90;  782;   103
San Francisco, California  ; Madison, Wisconsin        ;           10;      13;  665;   104
Kansas City, Missouri      ; Madison, Wisconsin        ;            8;       9;  845;   105
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      23;  638;   106
Denver, Colorado           ; Madison, Wisconsin        ;            1;      11;  887;   107
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      78;  753;   108
Denver, Colorado           ; Madison, Wisconsin        ;            2;      99;  699;   109
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      50;  844;   110
Kansas City, Missouri      ; Denver, Colorado          ;            9;      51;  683;   111
Denver, Colorado           ; Salt Lake City, Utah      ;            8;       8;  697;   112
San Francisco, California  ; Denver, Colorado          ;            5;      11;  602;   113
Kansas City, Missouri      ; Denver, Colorado          ;            3;      26;  925;   114
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      16;  721;   115
Denver, Colorado           ; Madison, Wisconsin        ;            8;      94;  753;   116
San Francisco, California  ; Salt Lake City, Utah      ;            7;      34;  795;   117
San Francisco, California  ; Madison, Wisconsin        ;            2;       6;  961;   118
San Francisco, California  ; Madison, Wisconsin        ;            6;       4;  724;   119
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      20;  688;   120
Kansas City, Missouri      ; Denver, Colorado          ;            3;      33;  601;   121
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      73;  979;   122
Denver, Colorado           ; Madison, Wisconsin        ;            6;      15;  839;   123
San Francisco, California  ; Salt Lake City, Utah      ;            7;      88;  714;   124
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      21;  991;   125
Kansas City, Missouri      ; Denver, Colorado          ;            8;      39;  761;   126
San Francisco, California  ; Madison, Wisconsin        ;           10;      65;  808;   127
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      78;  862;   128
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;      21;  834;   129
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      11;  846;   130
San Francisco, California  ; Madison, Wisconsin        ;            4;      42;  977;   131
Kansas City, Missouri      ; Denver, Colorado          ;            2;      86;  819;   132
Kansas City, Missouri      ; Madison, Wisconsin        ;            1;      44;  618;   133
San Francisco, California  ; Denver, Colorado          ;            7;      86;  869;   134
San Francisco, California  ; Salt Lake City, Utah      ;            6;      80;  900;   135
Kansas City, Missouri      ; Denver, Colorado          ;            6;      21;  668;   136
Denver, Colorado           ; Madison, Wisconsin        ;            1;      52;  845;   137
San Francisco, California  ; Salt Lake City, Utah      ;            5;      52;  780;   138
San Francisco, California  ; Madison, Wisconsin        ;            6;      91;  711;   139
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      18;  746;   140
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      96;  859;   141
Denver, Colorado           ; Madison, Wisconsin        ;            5;      60;  820;   142
Denver, Colorado           ; Salt Lake City, Utah      ;            7;       1;  963;   143
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      64;  781;   144
Kansas City, Missouri      ; Denver, Colorado          ;            8;      73;  963;   145
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      95;  615;   146
Kansas City, Missouri      ; Denver, Colorado          ;            5;      22;  788;   147
Kansas City, Missouri      ; Madison, Wisconsin        ;            8;      53;  990;   148
Kansas City, Missouri      ; Denver, Colorado          ;            5;      63;  744;   149
Kansas City, Missouri      ; Denver, Colorado          ;           10;      35;  849;   150
Denver, Colorado           ; Madison, Wisconsin        ;            4;       2;  897;   151
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;      74;  788;   152
Denver, Colorado           ; Madison, Wisconsin        ;            8;      22;  734;   153
San Francisco, California  ; Salt Lake City, Utah      ;            4;      57;  668;   154
Denver, Colorado           ; Madison, Wisconsin        ;            2;      14;  787;   155
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;       8;  837;   156
Kansas City, Missouri      ; Salt Lake City, Utah      ;            3;      82;  849;   157
San Francisco, California  ; Madison, Wisconsin        ;            5;      58;  751;   158
Kansas City, Missouri      ; Salt Lake City, Utah      ;            3;      80;  707;   159
San Francisco, California  ; Denver, Colorado          ;            8;      21;  826;   160
San Francisco, California  ; Salt Lake City, Utah      ;            2;       3;  666;   161
Kansas City, Missouri      ; Denver, Colorado          ;           10;       6;  664;   162
Kansas City, Missouri      ; Denver, Colorado          ;            7;      58;  621;   163
San Francisco, California  ; Madison, Wisconsin        ;            6;       4;  906;   164
Kansas City, Missouri      ; Denver, Colorado          ;            2;      61;  891;   165
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      49;  846;   166
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      63;  673;   167
Kansas City, Missouri      ; Madison, Wisconsin        ;            1;      41;  707;   168
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      50;  716;   169
Kansas City, Missouri      ; Denver, Colorado          ;            2;       8;  693;   170
San Francisco, California  ; Salt Lake City, Utah      ;            9;      16;  949;   171
Denver, Colorado           ; Madison, Wisconsin        ;            2;      45;  679;   172
San Francisco, California  ; Denver, Colorado          ;            8;      97;  704;   173
Denver, Colorado           ; Madison, Wisconsin        ;            1;      67;  911;   174
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      25;  617;   175
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      92;  961;   176
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      38;  946;   177
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;      15;  898;   178
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      92;  649;   179
San Francisco, California  ; Denver, Colorado          ;            9;      17;  610;   180
San Francisco, California  ; Denver, Colorado          ;            4;      96;  653;   181
Kansas City, Missouri      ; Madison, Wisconsin        ;            9;      59;  684;   182
Kansas City, Missouri      ; Madison, Wisconsin        ;            9;      39;  727;   183
Kansas City, Missouri      ; Madison, Wisconsin        ;            1;       5;  999;   184
San Francisco, California  ; Denver, Colorado          ;            7;      22;  874;   185
San Francisco, California  ; Salt Lake City, Utah      ;            1;      52;  664;   186
Denver, Colorado           ; Madison, Wisconsin        ;            3;      73;  671;   187
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      90;  771;   188
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      38;  741;   189
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      87;  794;   190
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      41;  765;   191
San Francisco, California  ; Denver, Colorado          ;            5;      30;  920;   192
Kansas City, Missouri      ; Denver, Colorado          ;            2;      11;  758;   193
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      15;  838;   194
San Francisco, California  ; Denver, Colorado          ;           10;      31;  943;   195
Denver, Colorado           ; Madison, Wisconsin        ;           10;      21;  874;   196
San Francisco, California  ; Madison, Wisconsin        ;            3;      40;  947;   197
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      27;  820;   198
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      73;  852;   199
