#Source                    |Destination                |Total Strands|Capacity|Bid  |Client
#=============================================================================================
San Francisco, California  ; Denver, Colorado          ;            5;       7;  639;     0
Salt Lake City, Utah       ; Madison, Wisconsin        ;            4;      14;  991;   128
Denver, Colorado           ; Madison, Wisconsin        ;            7;      84;  770;   129
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      74;  629;   130
San Francisco, California  ; Denver, Colorado          ;            9;      22;  729;   131
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      97;  798;   132
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;       4;  801;   133
San Francisco, California  ; Denver, Colorado          ;            9;      12;  633;   134
San Francisco, California  ; Denver, Colorado          ;            1;      90;  613;   135
Denver, Colorado           ; Kansas City, Missouri     ;            6;      33;  662;   136
Kansas City, Missouri      ; Denver, Colorado          ;            9;      89;  654;   137
Denver, Colorado           ; Kansas City, Missouri     ;            8;      64;  923;   138
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      45;  721;   139
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;      92;  904;   140
Salt Lake City, Utah       ; Kansas City, Missouri     ;            2;       3;  804;   141
Kansas City, Missouri      ; Madison, Wisconsin        ;            1;      67;  797;   142
Kansas City, Missouri      ; Denver, Colorado          ;            7;      52;  795;   143
Denver, Colorado           ; Madison, Wisconsin        ;            4;      64;  869;   144
Salt Lake City, Utah       ; Denver, Colorado          ;           10;      28;  784;   145
San Francisco, California  ; Salt Lake City, Utah      ;            8;      92;  906;   146
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      38;  629;   147
Denver, Colorado           ; Kansas City, Missouri     ;            7;      71;  746;   148
Salt Lake City, Utah       ; Madison, Wisconsin        ;            6;       3;  713;   149
San Francisco, California  ; Salt Lake City, Utah      ;           10;      41;  606;   150
Denver, Colorado           ; Kansas City, Missouri     ;            8;      47;  655;   151
Kansas City, Missouri      ; Denver, Colorado          ;            8;      25;  905;   152
Salt Lake City, Utah       ; Kansas City, Missouri     ;            6;      29;  912;   153
Denver, Colorado           ; Kansas City, Missouri     ;            8;      70;  793;   154
Salt Lake City, Utah       ; Kansas City, Missouri     ;           10;      69;  706;   155
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      79;  992;   156
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;      15;  674;   157
Salt Lake City, Utah       ; Madison, Wisconsin        ;            7;      51;  929;   158
Denver, Colorado           ; Madison, Wisconsin        ;            4;      76;  766;   159
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      41;  818;   160
San Francisco, California  ; Kansas City, Missouri     ;            2;       2;  837;   161
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      88;  707;   162
Salt Lake City, Utah       ; Denver, Colorado          ;            4;      76;  613;   163
Salt Lake City, Utah       ; Madison, Wisconsin        ;            9;      43;  652;   164
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;      88;  741;   165
Denver, Colorado           ; Kansas City, Missouri     ;            9;       2;  843;   166
Denver, Colorado           ; Kansas City, Missouri     ;            1;      92;  916;   167
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      68;  771;   168
Denver, Colorado           ; Madison, Wisconsin        ;            3;      56;  664;   169
San Francisco, California  ; Denver, Colorado          ;            9;      46;  787;   170
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;      23;  719;   171
Denver, Colorado           ; Kansas City, Missouri     ;            5;      22;  608;   172
San Francisco, California  ; Denver, Colorado          ;            9;      98;  991;   173
Denver, Colorado           ; Kansas City, Missouri     ;            2;      57;  838;   174
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      32;  698;   175
Salt Lake City, Utah       ; Madison, Wisconsin        ;           10;      78;  837;   176
Kansas City, Missouri      ; Denver, Colorado          ;            8;       3;  710;   177
San Francisco, California  ; Denver, Colorado          ;            8;      92;  823;   178
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      86;  715;   179
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      40;  931;   180
Kansas City, Missouri      ; Madison, Wisconsin        ;            1;      69;  836;   181
Salt Lake City, Utah       ; Madison, Wisconsin        ;            9;      96;  812;   182
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      82;  825;   183
Salt Lake City, Utah       ; Madison, Wisconsin        ;            9;       6;  867;   184
Salt Lake City, Utah       ; Madison, Wisconsin        ;            7;      82;  870;   185
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      70;  809;   186
San Francisco, California  ; Salt Lake City, Utah      ;            7;      19;  746;   187
Salt Lake City, Utah       ; Madison, Wisconsin        ;            4;      15;  786;   188
San Francisco, California  ; Denver, Colorado          ;           10;       1;  708;   189
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      95;  928;   190
Salt Lake City, Utah       ; Denver, Colorado          ;            4;      71;  757;   191
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      22;  846;   192
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      19;  894;   193
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      12;  640;   194
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      25;  915;   195
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      30;  805;   196
Kansas City, Missouri      ; Denver, Colorado          ;            1;      47;  728;   197
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      83;  827;   198
Salt Lake City, Utah       ; Denver, Colorado          ;            6;      92;  689;   199
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;      57;  846;   200
San Francisco, California  ; Denver, Colorado          ;            2;      75;  989;   201
Kansas City, Missouri      ; Denver, Colorado          ;            8;      46;  795;   202
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      25;  948;   203
Denver, Colorado           ; Madison, Wisconsin        ;            5;      36;  901;   204
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;      26;  671;   205
Salt Lake City, Utah       ; Madison, Wisconsin        ;            7;      34;  778;   206
Salt Lake City, Utah       ; Denver, Colorado          ;            1;      10;  887;   207
San Francisco, California  ; Salt Lake City, Utah      ;           10;      95;  609;   208
Salt Lake City, Utah       ; Madison, Wisconsin        ;           10;      74;  747;   209
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      75;  761;   210
San Francisco, California  ; Madison, Wisconsin        ;            9;      76;  748;   211
Salt Lake City, Utah       ; Denver, Colorado          ;            9;      31;  907;   212
Denver, Colorado           ; Kansas City, Missouri     ;            4;      89;  944;   213
Kansas City, Missouri      ; Denver, Colorado          ;           10;      95;  730;   214
Salt Lake City, Utah       ; Denver, Colorado          ;            9;       6;  799;   215
Denver, Colorado           ; Madison, Wisconsin        ;            8;      34;  960;   216
Denver, Colorado           ; Madison, Wisconsin        ;           10;      74;  679;   217
Denver, Colorado           ; Kansas City, Missouri     ;            9;      27;  614;   218
Salt Lake City, Utah       ; Kansas City, Missouri     ;            5;      35;  633;   219
Salt Lake City, Utah       ; Denver, Colorado          ;            5;      26;  656;   220
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;       1;  798;   221
San Francisco, California  ; Madison, Wisconsin        ;            6;      62;  813;   222
San Francisco, California  ; Madison, Wisconsin        ;            2;      27;  667;   223
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      24;  859;   224
San Francisco, California  ; Salt Lake City, Utah      ;            3;      62;  657;   225
San Francisco, California  ; Madison, Wisconsin        ;            1;      56;  955;   226
Salt Lake City, Utah       ; Denver, Colorado          ;            9;      43;  985;   227
Denver, Colorado           ; Madison, Wisconsin        ;            9;      84;  961;   228
Denver, Colorado           ; Madison, Wisconsin        ;           10;      73;  892;   229
Salt Lake City, Utah       ; Kansas City, Missouri     ;            8;      86;  879;   230
Salt Lake City, Utah       ; Kansas City, Missouri     ;            6;      54;  858;   231
Kansas City, Missouri      ; Denver, Colorado          ;           10;      11;  672;   232
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      85;  810;   233
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      99;  921;   234
San Francisco, California  ; Madison, Wisconsin        ;            2;      31;  667;   235
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      32;  644;   236
San Francisco, California  ; Denver, Colorado          ;            2;      83;  972;   237
Denver, Colorado           ; Kansas City, Missouri     ;           10;      43;  851;   238
Kansas City, Missouri      ; Denver, Colorado          ;            1;      86;  925;   239
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;      32;  668;   240
Salt Lake City, Utah       ; Kansas City, Missouri     ;            2;      84;  698;   241
Salt Lake City, Utah       ; Madison, Wisconsin        ;            5;      90;  774;   242
San Francisco, California  ; Madison, Wisconsin        ;            6;      65;  770;   243
Salt Lake City, Utah       ; Denver, Colorado          ;            1;      30;  859;   244
San Francisco, California  ; Kansas City, Missouri     ;            1;     100;  671;   245
Kansas City, Missouri      ; Denver, Colorado          ;            9;      16;  988;   246
San Francisco, California  ; Denver, Colorado          ;            1;      36;  634;   247
Kansas City, Missouri      ; Denver, Colorado          ;           10;       8;  654;   248
Salt Lake City, Utah       ; Madison, Wisconsin        ;            9;      14;  601;   249
San Francisco, California  ; Madison, Wisconsin        ;            4;      23;  919;   250
San Francisco, California  ; Kansas City, Missouri     ;            3;      22;  977;   251
San Francisco, California  ; Salt Lake City, Utah      ;            1;      86;  803;   252
Salt Lake City, Utah       ; Denver, Colorado          ;            7;      48;  979;   253
Salt Lake City, Utah       ; Kansas City, Missouri     ;            5;      12;  760;   254
Denver, Colorado           ; Kansas City, Missouri     ;           10;      49;  913;   255
Kansas City, Missouri      ; Madison, Wisconsin        ;            9;      32;  613;   256
San Francisco, California  ; Kansas City, Missouri     ;           10;      71;  940;   257
Salt Lake City, Utah       ; Kansas City, Missouri     ;            9;      56;  656;   258
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      70;  993;   259
Salt Lake City, Utah       ; Denver, Colorado          ;            7;      28; 1000;   260
Kansas City, Missouri      ; Salt Lake City, Utah      ;            3;      62;  948;   261
Denver, Colorado           ; Madison, Wisconsin        ;            8;      69;  917;   262
Salt Lake City, Utah       ; Kansas City, Missouri     ;            9;      41;  619;   263
Salt Lake City, Utah       ; Madison, Wisconsin        ;            1;      21;  659;   264
Kansas City, Missouri      ; Denver, Colorado          ;            4;      89;  813;   265
Kansas City, Missouri      ; Denver, Colorado          ;            8;      35;  661;   266
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      35;  766;   267
Salt Lake City, Utah       ; Kansas City, Missouri     ;            2;      11;  939;   268
Salt Lake City, Utah       ; Kansas City, Missouri     ;            7;       9;  861;   269
San Francisco, California  ; Salt Lake City, Utah      ;           10;      38;  653;   270
Salt Lake City, Utah       ; Madison, Wisconsin        ;            6;      64;  852;   271
San Francisco, California  ; Madison, Wisconsin        ;            3;      36;  799;   272
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;      96;  682;   273
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      69;  814;   274
Kansas City, Missouri      ; Denver, Colorado          ;            8;      65;  684;   275
Denver, Colorado           ; Kansas City, Missouri     ;            2;      58;  860;   276
San Francisco, California  ; Madison, Wisconsin        ;           10;       1;  998;   277
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      40;  927;   278
San Francisco, California  ; Kansas City, Missouri     ;            9;      56;  601;   279
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      89;  885;   280
San Francisco, California  ; Denver, Colorado          ;            3;      35;  938;   281
Salt Lake City, Utah       ; Denver, Colorado          ;            1;      95;  618;   282
Denver, Colorado           ; Kansas City, Missouri     ;            9;      27;  926;   283
Denver, Colorado           ; Madison, Wisconsin        ;            3;       8;  973;   284
Salt Lake City, Utah       ; Denver, Colorado          ;            9;      48;  894;   285
Denver, Colorado           ; Madison, Wisconsin        ;            8;      65;  667;   286
Salt Lake City, Utah       ; Denver, Colorado          ;            2;      97;  987;   287
San Francisco, California  ; Denver, Colorado          ;           10;      34;  628;   288
Kansas City, Missouri      ; Denver, Colorado          ;            7;      73;  634;   289
Kansas City, Missouri      ; Denver, Colorado          ;            8;      22;  739;   290
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      60;  990;   291
Salt Lake City, Utah       ; Madison, Wisconsin        ;            6;      95;  602;   292
Kansas City, Missouri      ; Madison, Wisconsin        ;            1;      15;  619;   293
San Francisco, California  ; Madison, Wisconsin        ;           10;      48;  927;   294
San Francisco, California  ; Denver, Colorado          ;            2;      64;  715;   295
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      56;  737;   296
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      45;  860;   297
Denver, Colorado           ; Kansas City, Missouri     ;           10;      69;  864;   298
Denver, Colorado           ; Kansas City, Missouri     ;            2;      84;  906;   299
San Francisco, California  ; Denver, Colorado          ;           10;      13;  849;   300
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;       7;  957;   301
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;      78;  709;   302
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      33;  849;   303
Denver, Colorado           ; Kansas City, Missouri     ;            5;      64;  772;   304
San Francisco, California  ; Kansas City, Missouri     ;            3;      62;  914;   305
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      51;  927;   306
San Francisco, California  ; Salt Lake City, Utah      ;            5;      68;  725;   307
Kansas City, Missouri      ; Madison, Wisconsin        ;            8;      38;  818;   308
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;       8;  831;   309
Denver, Colorado           ; Kansas City, Missouri     ;            3;      70;  914;   310
Salt Lake City, Utah       ; Kansas City, Missouri     ;            7;      51;  922;   311
Salt Lake City, Utah       ; Madison, Wisconsin        ;            7;      52;  675;   312
Denver, Colorado           ; Kansas City, Missouri     ;            3;      25;  706;   313
Salt Lake City, Utah       ; Madison, Wisconsin        ;            2;      20;  620;   314
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      65;  947;   315
San Francisco, California  ; Madison, Wisconsin        ;            3;      37;  926;   316
San Francisco, California  ; Denver, Colorado          ;            6;      98;  922;   317
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      45;  718;   318
San Francisco, California  ; Madison, Wisconsin        ;            9;      49;  718;   319
San Francisco, California  ; Kansas City, Missouri     ;            9;      86;  800;   320
San Francisco, California  ; Denver, Colorado          ;           10;      66;  960;   321
San Francisco, California  ; Kansas City, Missouri     ;            7;      27;  891;   322
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      58;  894;   323
San Francisco, California  ; Denver, Colorado          ;            8;      39;  787;   324
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      40;  962;   325
San Francisco, California  ; Kansas City, Missouri     ;            3;      33;  805;   326
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      20;  700;   327
Salt Lake City, Utah       ; Kansas City, Missouri     ;            9;      42;  867;   328
Salt Lake City, Utah       ; Kansas City, Missouri     ;            6;      28;  686;   329
San Francisco, California  ; Madison, Wisconsin        ;           10;      71;  633;   330
Salt Lake City, Utah       ; Denver, Colorado          ;            8;      18;  969;   331
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;      63;  672;   332
San Francisco, California  ; Salt Lake City, Utah      ;            1;      83;  916;   333
Salt Lake City, Utah       ; Denver, Colorado          ;            3;      98;  785;   334
San Francisco, California  ; Kansas City, Missouri     ;            7;      48;  698;   335
Denver, Colorado           ; Kansas City, Missouri     ;            1;      32;  727;   336
San Francisco, California  ; Denver, Colorado          ;            6;      26;  791;   337
Salt Lake City, Utah       ; Denver, Colorado          ;            6;      24;  635;   338
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      67;  661;   339
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;     100;  968;   340
Salt Lake City, Utah       ; Denver, Colorado          ;            3;      75;  878;   341
Denver, Colorado           ; Madison, Wisconsin        ;            4;       9;  704;   342
Kansas City, Missouri      ; Denver, Colorado          ;            5;      23;  828;   343
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      15;  976;   344
San Francisco, California  ; Kansas City, Missouri     ;            2;      78;  786;   345
San Francisco, California  ; Salt Lake City, Utah      ;            4;      12;  962;   346
Denver, Colorado           ; Kansas City, Missouri     ;            8;      42;  924;   347
San Francisco, California  ; Madison, Wisconsin        ;            9;      69;  808;   348
Salt Lake City, Utah       ; Kansas City, Missouri     ;            9;      35;  734;   349
Kansas City, Missouri      ; Denver, Colorado          ;            5;      32;  664;   350
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      64;  831;   351
Salt Lake City, Utah       ; Denver, Colorado          ;            7;      39;  725;   352
San Francisco, California  ; Denver, Colorado          ;            6;      40;  797;   353
Denver, Colorado           ; Madison, Wisconsin        ;            6;      28;  941;   354
Denver, Colorado           ; Salt Lake City, Utah      ;            8;       8;  601;   355
San Francisco, California  ; Salt Lake City, Utah      ;            8;       8;  948;   356
Salt Lake City, Utah       ; Kansas City, Missouri     ;            2;      76;  868;   357
Denver, Colorado           ; Madison, Wisconsin        ;            4;      95;  832;   358
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      93;  604;   359
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      64;  769;   360
San Francisco, California  ; Kansas City, Missouri     ;            5;      41;  823;   361
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      61;  800;   362
San Francisco, California  ; Madison, Wisconsin        ;            7;      25;  668;   363
Salt Lake City, Utah       ; Kansas City, Missouri     ;            9;      41;  763;   364
Denver, Colorado           ; Kansas City, Missouri     ;            2;      33;  608;   365
Salt Lake City, Utah       ; Kansas City, Missouri     ;            7;      15;  928;   366
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      40;  685;   367
San Francisco, California  ; Madison, Wisconsin        ;            1;      64;  741;   368
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      94;  771;   369
Denver, Colorado           ; Salt Lake City, Utah      ;            6;       6;  915;   370
San Francisco, California  ; Madison, Wisconsin        ;            4;      63;  920;   371
Salt Lake City, Utah       ; Madison, Wisconsin        ;            3;      55;  887;   372
San Francisco, California  ; Salt Lake City, Utah      ;            5;      91;  646;   373
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      41;  856;   374
Salt Lake City, Utah       ; Kansas City, Missouri     ;           10;       7;  894;   375
Denver, Colorado           ; Kansas City, Missouri     ;            1;      51;  682;   376
